service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
4,1,1,1,1,1,1,0,20160831,20161031
6,0,0,0,0,0,1,0,20160831,20161031
1,0,0,1,0,0,0,0,20160831,20161031
2,1,1,0,1,1,0,0,20160831,20161031
3,1,1,1,1,1,0,0,20160831,20161031
5,1,1,1,1,1,1,0,20160831,20161031
7,1,1,1,1,1,1,1,20160831,20161031
12,0,0,0,0,0,1,0,20160926,20161031
8,0,0,1,0,0,0,0,20160926,20161031
13,0,0,1,0,0,1,0,20160926,20161031
10,1,1,0,1,1,0,0,20160926,20161031
9,1,1,1,1,1,0,0,20160926,20161031
11,1,1,1,1,1,1,0,20160926,20161031
