route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id
34,3,1,ROYAN - Gare SNCF Arrivée,,0,
34,4,2,ROYAN - Gare SNCF Arrivée,,0,
38,3,3,ROYAN - Sainte Marie,,0,
32,4,4,ST PALAIS/MER - Marcel Vallet,,0,
41,3,5,ROYAN - Lycée Cordouan,,0,
32,4,6,ST GEORGES DE DIDONNE - Parasols,,1,
42,3,7,ROYAN - Lycée Cordouan,,0,
50,3,8,ROYAN - Lycée Cordouan,,0,
50,3,9,CHENAC - St Seurin Port,,0,
38,3,10,ROYAN - Sainte Marie,,0,
40,3,11,ROYAN - Lycée Cordouan,,0,
44,3,12,ROYAN - Lycée Cordouan,,0,
33,3,13,ROYAN - Gare SNCF Arrivée,,0,
45,3,14,ROYAN - Lycée Cordouan,,0,
48,3,15,ROYAN - Lycée Cordouan,,0,
43,3,16,ROYAN - Lycée Cordouan,,0,
126,4,17,ROYAN - Gare SNCF Arrivée,,1,
36,6,18,ROYAN - Gare SNCF Arrivée,,0,
36,3,19,ROYAN - Gare SNCF Arrivée,,0,
31,4,20,ST SULPICE DE ROYAN - Centre,,1,
54,3,21,ROYAN - CES Dunant,,0,
37,4,22,ROYAN - Gare SNCF Arrivée,,0,
47,3,23,ROYAN - Lycée Cordouan,,0,
35,4,24,ROYAN - Gare SNCF Arrivée,,0,
46,3,25,ROYAN - Lycée Cordouan,,0,
32,4,26,ST GEORGES DE DIDONNE - Parasols,,1,
13,3,27,LA TREMBLADE - Collège,,0,
51,3,28,ROYAN - Lycée Cordouan,,0,
55,3,29,ROYAN - CES Dunant,,0,
32,4,30,ST PALAIS/MER - Marcel Vallet,,0,
158,3,31,,,0,
58,3,32,ROYAN - CES Dunant,,0,
133,5,33,ROYAN - François Arago,,0,
12,3,34,LA TREMBLADE - Collège,,0,
11,3,35,LA TREMBLADE - Collège,,0,
31,4,36,ROYAN - Lavoisier,,0,
134,4,37,ROYAN - Lycée Cordouan,,0,
14,3,38,LA TREMBLADE - Collège,,0,
53,3,39,ROYAN - CES Dunant,,0,
57,3,40,ROYAN - CES Dunant,,0,
16,3,41,LA TREMBLADE - Collège,,0,
56,3,42,ROYAN - CES Dunant,,0,
55,3,43,ROYAN - CES Dunant,,0,
59,3,44,ROYAN - CES Dunant,,0,
34,3,45,ROYAN - Gare SNCF Arrivée,,0,
34,4,46,ROYAN - Gare SNCF Arrivée,,0,
15,3,47,LA TREMBLADE - Collège,,0,
34,3,48,LA TREMBLADE - Ronce-les-Bains Casino,,1,
34,4,49,LA TREMBLADE - Ronce-les-Bains Casino,,1,
35,3,50,SAUJON - Place Richelieu,,1,
35,6,51,SAUJON - Place Richelieu,,1,
36,3,52,COZES - Ancienne Gare,,1,
36,4,53,COZES - Ancienne Gare,,1,
37,3,54,MESCHERS - La Longée,,1,
37,4,55,MESCHERS - La Longée,,1,
126,4,56,VAUX SUR MER - Grosse Pierre,,0,
132,3,57,ROYAN - CES Dunant,,0,
132,3,58,ROYAN - CES Zola,,0,
4,3,59,COZES - Primaire,,0,
132,3,60,ROYAN - CES Dunant,,0,
3,3,61,COZES - Primaire,,0,
132,3,62,ROYAN - CES Zola,,0,
132,3,63,ROYAN - Lycée Atlantique,,0,
132,3,64,ROYAN - Lycée Atlantique,,0,
133,5,65,VAUX-SUR-MER - ZA Plain,,1,
31,4,66,ST SULPICE DE ROYAN - Centre,,1,
1,3,67,COZES - Collège Les Vieilles Vignes,,0,
5,3,68,COZES - Primaire,,0,
134,4,69,ROYAN - La Perche,,1,
2,3,70,COZES - Primaire,,0,
6,3,71,COZES - Primaire,,0,
33,4,72,ROYAN - Gare SNCF Arrivée,,0,
104,3,73,LA TREMBLADE - Sablière,,0,
36,4,74,ROYAN - Gare SNCF Arrivée,,0,
37,4,75,ROYAN - Gare SNCF Arrivée,,0,
35,4,76,ROYAN - Gare SNCF Arrivée,,0,
32,6,77,ST GEORGES DE DIDONNE - Parasols,,1,
32,3,78,ROYAN - Gare SNCF Arrivée,,1,
126,4,79,ROYAN - Gare SNCF Arrivée,,1,
103,7,80,LES MATHES - Office du Tourisme,,0,
134,4,81,ROYAN - Lycée Cordouan,,0,
32,4,82,ST PALAIS/MER - Marcel Vallet,,0,
133,5,83,ROYAN - François Arago,,0,
60,3,84,ROYAN - CES Dunant,,0,
31,4,85,ROYAN - Gare SNCF Arrivée,,0,
172,5,86,SAUJON - Gare,,0,
31,4,87,ST SULPICE DE ROYAN - Centre,,1,
32,3,88,ST GEORGES DE DIDONNE - Parasols,,1,
33,3,89,ARVERT - Halle,,1,
33,4,90,ARVERT - Halle,,1,
35,6,91,SAUJON - Place Richelieu,,1,
35,3,92,SAUJON - Place Richelieu,,1,
36,4,93,COZES - Ancienne Gare,,1,
37,3,94,MESCHERS - La Longée,,1,
37,4,95,MESCHERS - La Longée,,1,
126,4,96,VAUX SUR MER - Grosse Pierre,,0,
132,3,97,ROYAN - CES Zola,,0,
34,3,98,LA TREMBLADE - Ronce-les-Bains Casino,,1,
34,4,99,LA TREMBLADE - Ronce-les-Bains Casino,,1,
133,5,100,VAUX-SUR-MER - ZA Plain,,1,
134,4,101,ROYAN - La Perche,,1,
103,7,102,ROYAN - Gare SNCF Arrivée,,1,
31,4,103,ROYAN - Lavoisier,,0,
172,5,104,SAUJON - Hopiteau,,1,
32,4,105,ST GEORGES DE DIDONNE - Parasols,,1,
126,4,106,ROYAN - Gare SNCF Arrivée,,1,
134,4,107,ROYAN - Lycée Cordouan,,0,
32,4,108,ST PALAIS/MER - Marcel Vallet,,0,
133,5,109,ROYAN - François Arago,,0,
31,4,110,ST SULPICE DE ROYAN - Centre,,1,
172,5,111,SAUJON - Gare,,0,
103,7,112,LES MATHES - Office du Tourisme,,0,
126,4,113,VAUX SUR MER - Grosse Pierre,,0,
133,5,114,VAUX-SUR-MER - ZA Plain,,1,
134,4,115,ROYAN - La Perche,,1,
31,4,116,ROYAN - Lavoisier,,0,
32,4,117,ST GEORGES DE DIDONNE - Parasols,,1,
126,4,118,ROYAN - Gare SNCF Arrivée,,1,
134,4,119,ROYAN - Lycée Cordouan,,0,
172,5,120,SAUJON - Hopiteau,,1,
32,4,121,ST PALAIS/MER - Marcel Vallet,,0,
133,5,122,ROYAN - François Arago,,0,
31,4,123,ST SULPICE DE ROYAN - Centre,,1,
103,7,124,ROYAN - Gare SNCF Arrivée,,1,
34,4,125,ROYAN - Gare SNCF Arrivée,,0,
172,5,126,SAUJON - Gare,,0,
126,4,127,VAUX SUR MER - Grosse Pierre,,0,
133,5,128,VAUX-SUR-MER - ZA Plain,,1,
134,4,129,ROYAN - La Perche,,1,
31,4,130,ROYAN - Lavoisier,,0,
33,4,131,ROYAN - Gare SNCF Arrivée,,0,
36,4,132,ROYAN - Gare SNCF Arrivée,,0,
37,4,133,ROYAN - Gare SNCF Arrivée,,0,
35,4,134,ROYAN - Gare SNCF Arrivée,,0,
32,4,135,ST GEORGES DE DIDONNE - Parasols,,1,
126,4,136,ROYAN - Gare SNCF Arrivée,,1,
134,4,137,ROYAN - Lycée Cordouan,,0,
32,4,138,ST PALAIS/MER - Marcel Vallet,,0,
133,5,139,ROYAN - François Arago,,0,
31,4,140,ST SULPICE DE ROYAN - Centre,,1,
33,4,141,ARVERT - Halle,,1,
